ISBN,Title,Author,Format,Gross Qty,Returned Qty,Net Qty,Net Compensation,Sales Market
9781608880836,Capital Ships of the Imperial Japanese Navy 1868-1945: The Yamato Class and Subsequent Planning,"Lengerer, Hans",Hardcover,958,0,958,11811.73,US
9781608881819,Imperial Japanese Navy 1932-1945 Warships and Colours: With Japanese Army Vessels and Three Special Bonus Pages,"Wright, Malcolm",Hardcover,443,0,443,10844.74,US
9781608880461,The World Wonder'd: What Really Happened Off Samar,"Lundgren, Robert",Hardcover,968,0,968,8002.37,US
9781608880584,The Essential Saker: from the trenches of the emerging multipolar world,"The Saker,",Hardcover,1003,0,1003,7798.73,US
9781934840856,Building the PT Boats: An Illustrated History of U.S. Navy Torpedo Boat Construction in World War II,"Andruss Sr., Frank J.",Paperback,344,0,344,6655.83,US
9781608881208,Why the USS Scorpion (SSN 589) Was Lost: The Death of a Submarine in the North Atlantic,"Rule, Bruce",Hardcover,587,-2,585,5783.92,US
9781608881642,Empire of Chaos,"Escobar, Pepe",Hardcover,514,-1,513,4835.77,US
9781934840177,The Handbook of Fifth-Generation Warfare (5GW),"Abbott, Daniel H.",Hardcover,512,-2,510,4617.45,US
9780978813826,GLOBALISTAN: An Antidote to THE WORLD IS FLAT,"Escobar, Pepe,",Paperback,184,0,184,3846.35,US
9781608881680,Why the USS Thresher (SSN 593) Was Lost,"Rule, Bruce",Hardcover,572,0,572,3744.13,US
9781608881819,Imperial Japanese Navy 1932-1945 Warships and Colours: With Japanese Army Vessels and Three Special Bonus Pages,"Wright, Malcolm",Hardcover,107,0,107,3744.04,UK
9781608880577,Department of Defense Law of War Manual,"Department of Defense, OGC",Hardcover,82,0,82,3349.14,US
9781608880881,Spacepower: Doctrine for Space Forces,United States Space Force,Hardcover,401,-1,400,2877.84,US
9781934840986,Blood on Our Hands: The American Invasion and Destruction of Iraq,"Davies, Nicolas J. S.",Paperback,281,0,281,2847.53,US
9781608882953,Eurasia v. NATOstan,"Escobar, Pepe",Paperback,315,0,315,2834.60,US
9781608882939,Eurasia v. NATOstan,"Escobar, Pepe",Hardcover,284,-1,283,2785.17,US
9781608880584,The Essential Saker: from the trenches of the emerging multipolar world,"The Saker,",Hardcover,367,0,367,2752.21,UK
9781608881888,Navigation Rules and Regulations Handbook,Department of Homeland Security,Hardcover,421,-1,420,2649.63,US
9781608881192,Jane's Fighting Ships 1900 (facsimile edition),"Jane, Frederick T.",Paperback,48,-1,47,2417.82,US
9781934840467,"The John Boyd Roundtable: Debating Science, Strategy, and War","Safranski, Mark",Paperback,161,0,161,2171.38,US
9781608881642,Empire of Chaos,"Escobar, Pepe",Hardcover,248,0,248,2104.47,UK
9780979920516,Global Perspectives on Space Power,"Szymanski, Paul,",Hardcover,78,0,78,2070.78,US
9781608881499,PT Boats Behind The Scenes,"Andruss Sr., Frank J.",Hardcover,100,0,100,2067.37,US
9780978813826,GLOBALISTAN: An Antidote to THE WORLD IS FLAT,"Escobar, Pepe,",Paperback,142,0,142,1922.84,UK
9781608880836,Capital Ships of the Imperial Japanese Navy 1868-1945: The Yamato Class and Subsequent Planning,"Lengerer, Hans",Hardcover,128,0,128,1890.22,UK
9781608881802,Pieces of History: Artifacts of the PT Boat Navy,"Andruss Sr., Frank J.",Hardcover,117,0,117,1695.37,US
9781608881130,The Royal Navy's Revenge and Other Little-Known Encounters of the War at Sea,"O'Hara, Vincent P.",Hardcover,169,0,169,1672.49,US
9781934840832,Obama Does Globalistan,"Escobar, Pepe",Paperback,124,0,124,1601.01,US
9781608882335,Raging Twenties: Great Power Politics Meets Techno-Feudalism,"Escobar, Pepe",Hardcover,173,0,173,1584.92,US
9781608880737,Building the PT Boats: An Illustrated History of U.S. Navy Torpedo Boat Construction in World War II,"Andruss Sr., Frank, J.",Hardcover,75,0,75,1576.25,US
9781608881604,FLEETS OF WORLD WAR II: Design History and Analysis for Every Ship of Every Navy (Revised Edition),"Worth, Richard",Hardcover,203,0,203,1524.23,US
9781608880591,Report of Operation HighJump: U.S. Navy Antarctic Development Program 1947,U.S. Navy,Hardcover,224,-2,222,1481.58,US
9781608880355,2030,"Escobar, Pepe",Paperback,296,0,296,1434.59,US
9781608881659,Battleship Victory: Principles of Sea Power in the War in the Pacific,"Lundgren, Robert",Hardcover,146,0,146,1356.03,US
9781934840436,Vocabolario Marino E Militare: Maritime and Military Vocabulary [Italian],"Guglielmotti, Alberto",Paperback,30,0,30,1266.78,DE (Global Connect)
9781934840122,"Mastering Space War: The Advanced Strategies, Technologies, and Theories Needed For Victory","Szymanski, Paul",Hardcover,58,0,58,1250.48,US
9781608881376,The Art of War of Bernadotte,"Bernadotte, Jean-Baptiste",Paperback,218,0,218,1242.38,US
9781608881437,United States - Vietnam Relations 1945 - 1967 (The Pentagon Papers) (Volume 1),"Office of the Secretary of Defense,",Hardcover,54,0,54,1225.21,US
9781608881666,"Amalgamated International and U.S. Inland Navigation Rules: Amalgamation of the International Regulations for Preventing Collisions at Sea and the U.S. Inland Navigation Rules, their Annexes, and associated Federal regulations",United States Coast Guard,Hardcover,263,0,263,1065.00,US
