description_of_idea,title,logline,,,,
Publisher's Marketplace,VALLEY OF SHADOWS,"a work of magical realism set in 1880s that tells the story of a former Mexican lawman who is coaxed out of retirement to investigate a series of kidnappings and gruesome murders that seem to fit a pattern of Aztec ritual sacrifice in the Texas border town of La Frontera, a prequel to THE RESURRECTION OF FULGENCIO RAMIREZ",,,,
Publisher's Marketplace,PLAGUE BIRDS,"the tale of a young woman betrayed into becoming one of the future's hated judges and executioners, with a killer AI bonded to her very blood; pitched as Jeff VanderMeer's DEAD ASTRONAUTS meets Martha Wells's The Murderbot Diaries",,,,
Publisher's Marketplace,THE LAST MONA LISA,"rooted in the actual theft of da Vinci's masterpiece from the Louvre in 1911 and the rumor that the painting that was returned to the museum two years later is a forgery, tapping into our universal fascination with da Vinci's enigma",,,,
Publisher's Marketplace,next three titles in her Sutter Creek, Montana series,where siblings fall in love with friends and rivals while converting an old family lodge to a destination wedding resort,,,
Publisher's Marketplace,WHEN SPARKS FLY,"the first book in a new contemporary romance series that follows three sisters who own an event hotel in Colorado Springs as they fall in love, navigate relationships, and ultimately figure out who they are as individuals",,,,
Publisher's Marketplace,first four books in the new Sorority Row series,,,,,
Publisher's Marketplace,Holliday Oregon miniseries,"in which a woman falls for her landlord, but when she learns the secret he's kept buried, she wonders whether he'll ever be able to believe in the possibility of new beginnings",,,,
Publisher's Marketplace,THE BOX,"a broken dystopian adventure about a little puzzle box that connects thefts, rifts, and failures in a collapsing city, pieced together by six narrators from fragments of secondhand stories",,,,
Publisher's Marketplace,untitled book,"in which a short-lived relationship is reignited eight years later on an unexpected getaway to Malta, and the couple is confronted by an explosive discovery",,,,
Publisher's Marketplace,untitled series,in which a team of determined men and women join forces to form a cold case team,,,,
Publisher's Marketplace,THE FASHION ORPHANS,"about two estranged sisters who, at the reading of their mother's will, discover they'll have to work together to sort out the unusual nature of their inheritance--a massive and valuable collection of vintage Coco Chanel clothing and accessories",,,,
Publisher's Marketplace,fourth book, for the Forever Yours continuity,,,,
Publisher's Marketplace,PEOPLE FROM BLOOMINGTON,"a collection of seven stories about eccentric characters set in Bloomington, Indiana, where the author lived for several years, that defies Western expectations of what constitutes Indonesian literature""""",,,,
Publisher's Marketplace,WOMAN DRINKING ABSINTHE,"a collection of poems that concern themselves with transgressions, both stylistic and substantive, with women brushing off convention at their peril—even though convention imperils their bodies, their spirits, and their art",,,,
Publisher's Marketplace,IRIS AND ALICE,"about two women on opposite ends of an alleged crime, each coming to terms with its brutal reality in her own way—a story exploring guilt, complicity, and the impulse towards fiction",,,,
Publisher's Marketplace,LUTE,"which follows an American expat-turned-lady of the remote, idyllic island of Lute, on the cusp of what locals call the day""—a once-every-seven-years event of strange rites", horror, reckoning," and grief""",
Publisher's Marketplace,LITTLE BIRD,"pitched as a dark Beauty and the Beast reimagining, set in Depression-era Chicago, featuring an orphaned dancer whose debut as her company's prima ballerina sets her on a much more sinister path than she ever envisioned",,,,
Publisher's Marketplace,THE CONFESSIONS OF MATTHEW STRONG,"about race and redemption, following a Black philosopher set on preventing a notorious white supremacist from hatching a plot that would plunge America into a racial crisis, pitched for fans of Colson Whitehead and AMERICAN SPY",,,,
Publisher's Marketplace,THE DROWNING GIRLS,"pitched as a feminist horror for fans of Simone St. James, about one woman's return to the fishing village of her youth where she must untangle her family from a generations-old curse in order to save her daughter",,,,
Publisher's Marketplace,WHAT NAPOLEON COULD NOT DO,"following the complex ties of a Ghanaian family across the globe from Ghana to Texas, with hauntings from a past in Vietnam, expanding into a larger reflection on the conflicts and disillusions encountered in the pursuit of American identity",,,,
Publisher's Marketplace,O,"a collection of poems that consider the body physical, the body politic, and the body sacred, in which Arabic and English exist both independently and in dialogue with each other",,,,
Publisher's Marketplace,FOLKLORN,"an #OwnVoices Gothic ancestry epic steeped in Korean legend and modern genre-bending horror, pitched as reminiscent of Helen Oyeyemi and Han Kang",,,,
Publisher's Marketplace,THE LINDBERGH NANNY,"told from the point of view of Betty Gow, the nanny to the Lindbergh family and a key suspect in the infamous kidnapping and murder of their child in 1932",,,,
Publisher's Marketplace,THE PRODIGAL DAUGHTER,,,,,
Publisher's Marketplace,THE BLACKMAILER OF BERLIN,"an espionage tale of blackmail and double, triple bluff, set in post-World War II Germany, following two Soviet sisters, whodespite victory, peace, and romanceare deeply mired in conflicts shaping a new world order",,,,
Publisher's Marketplace,THE GREAT WITCH OF BRITTANY,in which a young woman's newly discovered magical ability will change the course her life and reshape her family for generations to come,,,,
Publisher's Marketplace,LESSER KNOWN MONSTERS OF THE 21ST CENTURY,an erotic and humorous short story collection that offers intricate insights into human nature in contexts both familiar and fantastic,,,,
Publisher's Marketplace,HURRICANE GIRL,"balancing on the knife's edge of comedy and horror, telling the story of a young woman whose new home is blown away by a tropical storm and, in the wake of this disaster and an ensuing one night stand gone very wrong, drives herself up and down the East Coast, seeking healing, falling into the arms of more male trouble, and ultimately finding her hero's journey",,,,
Publisher's Marketplace,LOVE FALSE OR TRUE,"a collection of stories addressing the themes of trust, betrayal, self-deception, and fidelity among characters who try but often fail to live up to their own moral standards",,,,
