title,logline
"The Buzzer Beater’s Ghost","In this fiction thriller, aging point guard Tommy Raines, haunted by a career-ending miss, returns to his Indiana hometown, only to face a spectral coach, Coach Harrow, who demands he replay his final shot to save the gym from demolition. Tommy’s midnight drills on a creaking court unravel a decades-old scandal tying his failure to a town secret."
"The Invisible Referee","Nonfiction: Veteran whistleblower Ed Kline reveals the untold psychological toll of officiating NCAA tournaments, exploring how refs manage hate mail, death threats, and split-second calls that shape legacies, a perspective never dissected before."
"The Court of Ashes","Fiction: Arsonist-turned-player Lena Voss, wrestling with guilt, joins a prison basketball team, clashing with ruthless guard captain Mara Kesh, who’d kill to keep her winning streak alive. Lena’s quest for redemption through a fiery championship exposes a conspiracy to rig the game."
"The Forgotten Five","Nonfiction: A deep dive into the 1950s junior college basketball dynasties, unearthing the gritty, overlooked stories of players who reshaped the game before integration, a chapter Feinstein’s spirit would demand be told."
"The Phantom Dunk","Fiction: High school phenom Kai Holt, scarred by his brother’s mysterious death, chases a legendary slam dunk said to defy gravity, pursued by rival Jaxon Vey, who’d sabotage him to claim the crown. Kai’s leaps in a foggy gym reveal a family secret buried in the rim."
"The Clock’s Rebellion","Nonfiction: An exposé on the shot clock’s inventors, tracing their battles with purists who called it blasphemy, revealing unpublished letters and heated debates that changed basketball’s pace forever."
"The Iron Cager","Fiction: WWII vet Cal Drift, a POW camp survivor tormented by lost teammates, coaches a ragtag factory team in 1946, facing industrialist Victor Hale, who’d crush them to break a strike. Cal’s gritty plays on a rust-streaked court forge a legacy of defiance."
"The Silent Scouts","Nonfiction: The first comprehensive look at deaf basketball scouts who revolutionized talent-spotting in the 1970s, using intuition over chatter, a fearless tribute to unsung heroes Feinstein would champion."
"The Crimson Bounce","Fiction: College star Ivy Wren, hiding a doping scandal, leads her team to March Madness, clashing with coach Lila Crane, who’d expose her to save the program. Ivy’s desperate drives through packed arenas unveil a blood-stained pact with victory."
"The Ghosts of Tobacco Road","Nonfiction: A raw exploration of the Carolina-Duke rivalry’s darkest moments—brawls, bribes, and buried recruiting scandals—told through newly uncovered diaries of players who lived it."
