stamp_id,album,page_filename,page_number_in_album,common_name,nationality,year,face_value,condition,estimated_value,description,collectibility_notes,owner_notes,thumbnail_path,cropped_image_path,ai_model_used,deacquired
a53471de-daef-480e-9310-6dc3f34e70fc,Covers,IMG_1443.JPG,17.0,Canada's Wildlife Series - The Loon,Canada,1957,N/A,Used,$10-$30,"First Day of Issue cover for the Canada's Wildlife Series featuring 'The Loon'. The cover has a postmark dated April 10, 1957, and was sent to Geneva, N.Y., USA. It includes a blue illustration of a loon and red text indicating the series and date of issue.","First Day Covers are popular among collectors, especially those themed around wildlife. This particular cover is part of a well-known series, adding to its collectibility.",,thumbnails/a53471de-daef-480e-9310-6dc3f34e70fc_thumbnail.jpg,cropped_entities/a53471de-daef-480e-9310-6dc3f34e70fc_cropped.jpg,grok-2-vision-1212,False
05872f56-0426-4b8b-9790-58d262cb7fa0,Covers,IMG_1446.JPG,20.0,Coronation First Day Cover,Canada,1953,Unknown,Used,$10-$50,"A First Day Cover commemorating the coronation of Queen Elizabeth II. It features a cachet with a portrait of the Queen and the text 'Coronation June 2 1953 Elizabeth II'. The cover is postmarked with a Toronto, Canada postmark dated June 2, 1953.","First Day Covers from significant historical events like the coronation of Queen Elizabeth II are collectible, especially when they are in good condition and have a clear postmark.",,thumbnails/05872f56-0426-4b8b-9790-58d262cb7fa0_thumbnail.jpg,cropped_entities/05872f56-0426-4b8b-9790-58d262cb7fa0_cropped.jpg,grok-2-vision-1212,False
3fd79cff-06d6-4ae4-bdb1-aca608fb040d,Covers,IMG_1446.JPG,20.0,Canadian Stamp on FDC,Canada,1953,Unknown,Used,$5-$20,"A Canadian postage stamp affixed to the First Day Cover. The stamp features a portrait of a man, likely a historical figure, and is postmarked with the same Toronto, Canada postmark dated June 2, 1953.",Stamps on First Day Covers are often valued for their historical significance and the condition of the postmark.,,thumbnails/3fd79cff-06d6-4ae4-bdb1-aca608fb040d_thumbnail.jpg,cropped_entities/3fd79cff-06d6-4ae4-bdb1-aca608fb040d_cropped.jpg,grok-2-vision-1212,False
43a61fda-eeb6-4b3d-92f0-3628f8743bd1,Covers,IMG_1452.JPG,26.0,Niagara Frontier Federation Stamp Club Cover,United States,1962,N/A,Used,$10-$20,"A commemorative cover for the 5th Annual Exhibition of the Niagara Frontier Federation Stamp Club, held from October 19-21, 1962. Features an illustration of the Peace Bridge and an eagle emblem.",Collectible due to its association with a specific stamp club event and the historical context of the Peace Bridge.,Acquired from a local stamp show in 2015.,thumbnails/43a61fda-eeb6-4b3d-92f0-3628f8743bd1_thumbnail.jpg,cropped_entities/43a61fda-eeb6-4b3d-92f0-3628f8743bd1_cropped.jpg,grok-2-vision-1212,False
a4857744-e7d3-4242-806e-2581d8b42b27,Covers,IMG_1452.JPG,26.0,Peace Bridge Stamp,Canada,1962,5c,Used,$5-$10,"A Canadian stamp depicting the Peace Bridge, postmarked with a special cancellation from the exhibition.",Valued for its thematic connection to the Peace Bridge and the event cancellation.,Part of a larger collection of bridge-themed stamps.,thumbnails/a4857744-e7d3-4242-806e-2581d8b42b27_thumbnail.jpg,cropped_entities/a4857744-e7d3-4242-806e-2581d8b42b27_cropped.jpg,grok-2-vision-1212,False
af72abef-49ab-48b6-9692-0f4495ebe9f3,Covers,IMG_1454.JPG,27.0,Stampless Cover,United Kingdom,1840,N/A,"Used, with some wear and creases",$50-$100,"A stampless cover from the pre-stamp era, postmarked with a red Maltese Cross cancellation and a black circular date stamp from London. The address is handwritten in cursive script.","Highly collectible due to its pre-stamp era origin and the historical significance of the Maltese Cross cancellation, which was used in the early days of the British postal system.",Acquired from a local auction in 2015. Needs careful handling due to age.,thumbnails/af72abef-49ab-48b6-9692-0f4495ebe9f3_thumbnail.jpg,cropped_entities/af72abef-49ab-48b6-9692-0f4495ebe9f3_cropped.jpg,grok-2-vision-1212,False
45dd8aee-43bc-4b06-847a-5529d08c1bac,Covers,IMG_1455.JPG,28.0,Unknown Stamp 1,Unknown,Unknown,Unknown,Poor,$5-$10,"A small stamp with a red postmark, partially obscured by handwritten text. The stamp's design and details are not fully visible.","Due to the condition and lack of visible details, collectibility is low unless it is a rare issue.",,thumbnails/45dd8aee-43bc-4b06-847a-5529d08c1bac_thumbnail.jpg,cropped_entities/45dd8aee-43bc-4b06-847a-5529d08c1bac_cropped.jpg,grok-2-vision-1212,False
4dc906c2-422b-41b0-b1cd-20c9f3f5bed2,Covers,IMG_1455.JPG,28.0,Unknown Stamp 2,Unknown,Unknown,Unknown,Fair,$10-$20,"A stamp with a blue postmark, partially visible under handwritten text. Some design elements can be inferred but not clearly identified.",Moderate collectibility if the stamp can be identified; condition affects value.,,thumbnails/4dc906c2-422b-41b0-b1cd-20c9f3f5bed2_thumbnail.jpg,cropped_entities/4dc906c2-422b-41b0-b1cd-20c9f3f5bed2_cropped.jpg,grok-2-vision-1212,False
ad26e830-24aa-4017-92fe-45f8a3b45788,Covers,IMG_1456.JPG,29.0,Stampless Letter,United States,circa 1850,N/A,"Used, Folded",$50-$100,A stampless folded letter with handwritten address and content. The letter shows signs of wear and creases from folding. It has a postmark and a manuscript marking indicating payment.,Stampless covers from this era are collectible for their historical significance and postal history. The manuscript markings and postmarks add to the value.,"Found in a family collection, believed to be from a relative in the mid-19th century.",thumbnails/ad26e830-24aa-4017-92fe-45f8a3b45788_thumbnail.jpg,cropped_entities/ad26e830-24aa-4017-92fe-45f8a3b45788_cropped.jpg,grok-2-vision-1212,False
d791d245-b50c-4a25-a258-d6305c3914a9,Covers,IMG_1457.JPG,30.0,Unknown Stamp 1,Unknown,Unknown,Unknown,Poor,Unknown,A stamp with significant discoloration and damage. Details are not visible due to the condition.,"Due to poor condition, collectibility is low unless historically significant.",,thumbnails/d791d245-b50c-4a25-a258-d6305c3914a9_thumbnail.jpg,cropped_entities/d791d245-b50c-4a25-a258-d6305c3914a9_cropped.jpg,grok-2-vision-1212,False
18a68651-c927-4f80-942b-971691995782,Covers,IMG_1457.JPG,30.0,Unknown Stamp 2,Unknown,Unknown,Unknown,Poor,Unknown,A stamp with significant wear and tear. Details are not discernible.,Low collectibility due to condition.,,thumbnails/18a68651-c927-4f80-942b-971691995782_thumbnail.jpg,cropped_entities/18a68651-c927-4f80-942b-971691995782_cropped.jpg,grok-2-vision-1212,False
00812a5f-19c4-4552-b3da-48f91d7a7b54,Covers,IMG_1461.JPG,32.0,Confederate States Cover,United States (Confederate States),1864,Unknown,"Used, Worn",$100-$300,"A used Confederate States cover from 1864, addressed to John E. Freuler in New York. The cover shows signs of wear and age, with a postmark visible but no stamp present.",Highly collectible due to its historical significance during the Civil War era. Covers from the Confederate States are sought after by collectors of Civil War postal history.,Acquired from a local estate sale in 2015. No provenance provided.,thumbnails/00812a5f-19c4-4552-b3da-48f91d7a7b54_thumbnail.jpg,cropped_entities/00812a5f-19c4-4552-b3da-48f91d7a7b54_cropped.jpg,grok-2-vision-1212,False
6a4caf0c-a0da-482f-9afa-46be903991e1,Covers,IMG_1473.JPG,44.0,Kansas Grain & Flour Co. Letterhead,United States,1907,N/A,Good,$20-$50,"A letterhead from Kansas Grain & Flour Co., dated May 16, 1907, from Wichita, Kansas. It includes details about grain prices and offers for bran and shorts.","Interesting for collectors of commercial documents from the early 20th century, especially those related to agriculture and grain trade.",Found in a collection of early 20th-century business documents.,thumbnails/6a4caf0c-a0da-482f-9afa-46be903991e1_thumbnail.jpg,cropped_entities/6a4caf0c-a0da-482f-9afa-46be903991e1_cropped.jpg,grok-2-vision-1212,False
96ba220a-7d90-4464-8bb2-049621872b2d,Guernsey_Jersey_Isle_of_Man,IMG_1206.jpeg,2.0,De Bagot Jersey Postage Stamps,Jersey,Unknown,£1.32,Mint,Unknown,"A booklet of Jersey postage stamps with a face value of £1.32, containing stamps of various denominations from 6p to 16p.",Collectible due to regional issue and thematic interest in heraldry.,,thumbnails/96ba220a-7d90-4464-8bb2-049621872b2d_thumbnail.jpg,cropped_entities/96ba220a-7d90-4464-8bb2-049621872b2d_cropped.jpg,grok-2-vision-1212,False
df0d5467-0f7b-4963-871b-1f671350155d,Guernsey_Jersey_Isle_of_Man,IMG_1206.jpeg,2.0,Noncent Jersey Postage Stamps,Jersey,Unknown,£1.20,Mint,Unknown,"A booklet of Jersey postage stamps with a face value of £1.20, containing stamps of various denominations from 6p to 12p.",Collectible due to regional issue and thematic interest in heraldry.,,thumbnails/df0d5467-0f7b-4963-871b-1f671350155d_thumbnail.jpg,cropped_entities/df0d5467-0f7b-4963-871b-1f671350155d_cropped.jpg,grok-2-vision-1212,False
e655598a-7b1d-4b76-b52b-8fdeb2fbae04,Guernsey_Jersey_Isle_of_Man,IMG_1206.jpeg,2.0,De Bagot Jersey Postage Stamps,Jersey,Unknown,£1.32,Mint,Unknown,"A booklet of Jersey postage stamps with a face value of £1.32, containing stamps of various denominations from 6p to 16p.",Collectible due to regional issue and thematic interest in heraldry.,,thumbnails/e655598a-7b1d-4b76-b52b-8fdeb2fbae04_thumbnail.jpg,cropped_entities/e655598a-7b1d-4b76-b52b-8fdeb2fbae04_cropped.jpg,grok-2-vision-1212,False
f7b06c59-580f-49c0-9e6e-ddb05ed5b078,Guernsey_Jersey_Isle_of_Man,IMG_1206.jpeg,2.0,Noncent Jersey Postage Stamps,Jersey,Unknown,£1.32,Mint,Unknown,"A booklet of Jersey postage stamps with a face value of £1.32, containing stamps of various denominations from 6p to 16p.",Collectible due to regional issue and thematic interest in heraldry.,,thumbnails/f7b06c59-580f-49c0-9e6e-ddb05ed5b078_thumbnail.jpg,cropped_entities/f7b06c59-580f-49c0-9e6e-ddb05ed5b078_cropped.jpg,grok-2-vision-1212,False
27526f58-c4d4-4d26-bea6-124d8968b46f,Guernsey_Jersey_Isle_of_Man,IMG_1206.jpeg,2.0,Messervy Jersey Postage Stamps,Jersey,Unknown,£3.12,Mint,Unknown,"A booklet of Jersey postage stamps with a face value of £3.12, containing stamps of various denominations from 12p to 24p.",Collectible due to regional issue and thematic interest in heraldry.,,thumbnails/27526f58-c4d4-4d26-bea6-124d8968b46f_thumbnail.jpg,cropped_entities/27526f58-c4d4-4d26-bea6-124d8968b46f_cropped.jpg,grok-2-vision-1212,False
9048059f-a97c-4538-b07a-88e1a08f0e15,Guernsey_Jersey_Isle_of_Man,IMG_1206.jpeg,2.0,Piott Jersey Postage Stamps,Jersey,Unknown,£3.60,Mint,Unknown,"A booklet of Jersey postage stamps with a face value of £3.60, containing stamps of various denominations from 12p to 24p.",Collectible due to regional issue and thematic interest in heraldry.,,thumbnails/9048059f-a97c-4538-b07a-88e1a08f0e15_thumbnail.jpg,cropped_entities/9048059f-a97c-4538-b07a-88e1a08f0e15_cropped.jpg,grok-2-vision-1212,False
e8e049fb-f6d4-4aa3-838a-8f145aead57a,Guernsey_Jersey_Isle_of_Man,IMG_1207.jpeg,3.0,Jersey Postage Stamps - Fort Regent,Jersey,Unknown,Unknown,Mint,Unknown,"A booklet of Jersey postage stamps featuring Fort Regent, with an image of the fort on the cover.",Collectible due to local historical significance.,,thumbnails/e8e049fb-f6d4-4aa3-838a-8f145aead57a_thumbnail.jpg,cropped_entities/e8e049fb-f6d4-4aa3-838a-8f145aead57a_cropped.jpg,grok-2-vision-1212,False
74a09a0d-20fb-431c-b42e-de7ae83c07bb,Guernsey_Jersey_Isle_of_Man,IMG_1207.jpeg,3.0,Jersey Postage Stamps - Martell Cognac,Jersey,Unknown,£3.00,Mint,Unknown,"A booklet of Jersey postage stamps with an advertisement for Martell Cognac, featuring a red and gold design.",Unique due to commercial advertisement on stamps.,,thumbnails/74a09a0d-20fb-431c-b42e-de7ae83c07bb_thumbnail.jpg,cropped_entities/74a09a0d-20fb-431c-b42e-de7ae83c07bb_cropped.jpg,grok-2-vision-1212,False
89b9768e-ddc6-4d77-9aea-7d3bcd48f913,Guernsey_Jersey_Isle_of_Man,IMG_1207.jpeg,3.0,Jersey Postage Stamps - Historical Figure,Jersey,Unknown,£3.84,Mint,Unknown,"A booklet of Jersey postage stamps with an image of a historical figure, possibly a portrait of a notable person from Jersey's history.",Valuable for historical representation.,,thumbnails/89b9768e-ddc6-4d77-9aea-7d3bcd48f913_thumbnail.jpg,cropped_entities/89b9768e-ddc6-4d77-9aea-7d3bcd48f913_cropped.jpg,grok-2-vision-1212,False
6c5a27d8-a67d-439e-8caa-71fee32f6475,Guernsey_Jersey_Isle_of_Man,IMG_1207.jpeg,3.0,Jersey Postage Stamps - Huguenot Heritage,Jersey,1985,£3.60,Mint,Unknown,"A booklet of Jersey postage stamps commemorating Huguenot Heritage, featuring a blue and gold design with years 1685-1985.","Commemorative issue, likely sought after by thematic collectors.",,thumbnails/6c5a27d8-a67d-439e-8caa-71fee32f6475_thumbnail.jpg,cropped_entities/6c5a27d8-a67d-439e-8caa-71fee32f6475_cropped.jpg,grok-2-vision-1212,False
01f2c0dc-0d83-4b65-bdb3-5baa087bf578,Miscellaneous,IMG_1277.JPG,33.0,Greetings from Jersey,Jersey,Unknown,£2.24,Used,Unknown,A booklet of stamps from Jersey with the text 'Greetings from Jersey' in a stylized blue and white design. The face value is £2.24.,The collectibility of this item may depend on the rarity of the booklet design and the condition. Jersey stamps are popular among collectors due to their unique designs.,,thumbnails/01f2c0dc-0d83-4b65-bdb3-5baa087bf578_thumbnail.jpg,cropped_entities/01f2c0dc-0d83-4b65-bdb3-5baa087bf578_cropped.jpg,grok-2-vision-1212,False
72f58127-6444-4ed8-b8f1-b2c508f9b752,Covers,IMG_1475.JPG,46.0,First Flight Cover,United States,1928,5c,Used,$20-$50,"A first flight cover from the National Air Mail Week, flown by Lieutenant Walter Hinton on the route from Memphis, TN to Toledo, OH via Chicago, IL and Cleveland, OH on May 19, 1928. The cover features a special cancellation and a 5c stamp with an eagle design.",First flight covers are highly collectible due to their historical significance in the development of airmail services. This particular cover is from a notable event in U.S. postal history.,Acquired from a local stamp show in 2015. Part of a larger collection of U.S. airmail covers.,thumbnails/72f58127-6444-4ed8-b8f1-b2c508f9b752_thumbnail.jpg,cropped_entities/72f58127-6444-4ed8-b8f1-b2c508f9b752_cropped.jpg,grok-2-vision-1212,False
95e675e1-dfd1-4734-af42-3ddbd7470ccb,Covers,IMG_1474.JPG,45.0,Army Carries the Mail Stamp,United States,1934,5c,Used,$20-$50,"A 5c stamp commemorating the Army carrying the mail, featuring an image of an airmail plane. It is postmarked 'FEB 19 1934' from Kansas City, MO, and is part of a cover from the last flight of the airmail contract.",This stamp is part of a historic cover from the transition period when the US Army took over airmail service. Collectors value it for its historical significance.,"Acquired from a specialized auction, noted for its clear postmark and historical context.",thumbnails/95e675e1-dfd1-4734-af42-3ddbd7470ccb_thumbnail.jpg,cropped_entities/95e675e1-dfd1-4734-af42-3ddbd7470ccb_cropped.jpg,grok-2-vision-1212,False
49aeaf8e-9b25-493f-914a-9d60c767457c,Covers,IMG_1474.JPG,45.0,Lindbergh Airmail Stamp,United States,1927,10c,Used,$30-$70,"A 10c stamp featuring Charles Lindbergh, part of the airmail series. It is postmarked 'FEB 19 1934' from Kansas City, MO.",Highly collectible due to its association with Lindbergh and early airmail history.,Part of a collection focusing on early aviation and airmail history.,thumbnails/49aeaf8e-9b25-493f-914a-9d60c767457c_thumbnail.jpg,cropped_entities/49aeaf8e-9b25-493f-914a-9d60c767457c_cropped.jpg,grok-2-vision-1212,False
