name,born,species,timeline,realness,latitude,longitude,nearest_city,country_code,backstory,fourwordsname,invisible_comments
Shrieugy,2100,sapiens,ours,synthetic,38.07528,70.4667,Yaylāq-e Pashlang,AF,"Shrieugy will be born in the area now known as Afghanistan. Shrieugy was born to an Afghan family in the area now known as Afghanistan. Their father was a farmer who grew wheat and their mother was a dressmaker. Shrieugy's father was a farmer who grew wheat. When they were young, they had to help their father in the fields. Shrieugy enjoyed living in a village where they could hear the",wriest-AGE-corbel-expletively,
Napoleon Bonaparte,1769,sapiens,ours,authenticated,41.9192,8.7386,Ajaccio,FR,"Napoleon Bonaparte[a] (born Napoleone di Buonaparte; 15 August 1769 – 5 May 1821) was a French military and political leader who rose to prominence during the French Revolution and led several successful campaigns during the Revolutionary Wars. He was the de facto leader of the French Republic as First Consul from 1799 to 1804. As Napoleon I, he was Emperor of the French from 1804 until 1814 and again in 1815. Napoleon dominated European and global affairs for more than a decade while leading France against a series of coalitions in the Napoleonic Wars. He won most of these wars and the vast majority of his battles, building a large empire that ruled over continental Europe before its final collapse in 1815. One of the greatest commanders in history, his wars and campaigns are studied in military schools worldwide. Napoleon's political and cultural legacy has endured as one of the most celebrated and controversial leaders in world history.[3][4]",napoleon-bonaparte-born-corsica,
Abraham Lincoln,1809,sapiens,ours,authenticated,37.571111,-85.738611,"Hodgenville, KY",US,Politician,renard-lowe-antonia-michel,Pantheon
Aristotle,-384,sapiens,ours,authenticated,40.333333,23.5,Stageira,GR,Philosopher,leclerc-medhurst-joline-sommer,Pantheon
Ayn Rand,1905,sapiens,ours,authenticated,59.95,30.3,Saint Petersburg,RU,Writer,riviere-rau-dina-steigauf,Pantheon
Andre Agassi,1970,sapiens,ours,authenticated,36.121514,-115.173851,"Las Vegas, NV",US,Tennis Player,vasseur-sporer-annie-spank,Pantheon
Aldous Huxley,1894,sapiens,ours,authenticated,51.185,-0.61,Godalming,GB,Writer,bourgeois-mitchell-sascha-ne,Pantheon
Andrei Tarkovsky,1932,sapiens,ours,authenticated,,,Zavrazhye,RU,Film Director,renault-stiedemann-fine-janke,Pantheon
Arthur Schopenhauer,1788,sapiens,ours,authenticated,54.35,18.633333,Gda≈Ñsk,PL,Philosopher,pierre-little-sven-hargasser,Pantheon
Albert Einstein,1879,sapiens,ours,authenticated,48.4,9.983333,Ulm,DE,Physicist,le-roux-stamm-natalie-bieler,Pantheon
Alexander the Great,-356,sapiens,ours,authenticated,40.8,22.516667,Pella,GR,Military Personnel,noel-kassulke-tamia-grundmann,Pantheon
Alfred Hitchcock,1899,sapiens,ours,authenticated,51.569,0.01,Leytonstone,GB,Film Director,picard-mueller-oscar-krueger,Pantheon
Attila the Hun,406,sapiens,ours,authenticated,,,Hajd√∫b√∂sz√∂rm√©ny,HU,Politician,leclercq-oberbrunner-lina-schwerdtner,Pantheon
Alfred Nobel,1833,sapiens,ours,authenticated,59.329444,18.068611,Stockholm,SE,Chemist,duval-hoppe-ana-kruschinski,Pantheon
Alexander Graham Bell,1847,sapiens,ours,authenticated,55.953056,-3.188889,Edinburgh,GB,Inventor,lucas-kertzmann-carolin-jung,Pantheon
Andy Warhol,1928,sapiens,ours,authenticated,40.439722,-79.976389,"Pittsburgh, PA",US,Artist,gauthier-gulgowski-sabrina-siewert,Pantheon
Alp Arslan,1029,sapiens,ours,authenticated,,,Other,UNK,Politician,charpentier-toy-conner-hildebrand,Pantheon
Akira Kurosawa,1910,sapiens,ours,authenticated,35.6,139.733333,Tokyo,JP,Film Director,leroy-bednar-deniz-osenberg,Pantheon
Anna Kournikova,1981,sapiens,ours,authenticated,55.75,37.616667,Moscow,RU,Tennis Player,schneider-windler-angelo-hoft,Pantheon
Andrey Markov,1856,sapiens,ours,authenticated,54.6,39.7,Ryazan,RU,Mathematician,perrin-goldner-mandy-welzel,Pantheon
A. A. Milne,1882,sapiens,ours,authenticated,51.5541,-0.1744,Hampstead,GB,Writer,duval-hoppe-leticia-dertmann,Pantheon
Melvil Dewey,1851,sapiens,ours,authenticated,43.862222,-76.006944,"Adams Center, NY",US,Inventor,blanchard-kreiger-merle-storp,Pantheon
Albert Speer,1905,sapiens,ours,authenticated,49.488889,8.469167,Mannheim,DE,Architect,deschamps-schiller-valerie-kreutz,Pantheon
Ada Lovelace,1815,sapiens,ours,authenticated,51.507222,-0.1275,London,GB,Mathematician,benoit-schulist-liv-schumacher,Pantheon
Albert Camus,1913,sapiens,ours,authenticated,36.683333,7.75,Dr√©an,DZ,Writer,colin-lehner-titus-leide,Pantheon
Agatha Christie,1890,sapiens,ours,authenticated,50.4792,-3.5305,Torquay,GB,Writer,blanchard-kshlerin-leyla-poser,Pantheon
Aaron,-1400,sapiens,ours,authenticated,,,Other,EG,Religious Figure,caron-mante-erik-ritosek,Pantheon
Allen Ginsberg,1926,sapiens,ours,authenticated,40.72422,-74.172574,"Newark, NJ",US,Writer,joly-huel-fatima-meier,Pantheon
Anatoly Karpov,1951,sapiens,ours,authenticated,55.166667,59.666667,Zlatoust,RU,Chessmaster,pons-walsh-gianluca-lienshoft,Pantheon
Aristophanes,-446,sapiens,ours,authenticated,37.96666667,23.71666667,Athens,GR,Writer,aubry-smith-sinja-schaefer,Pantheon
Albert Schweitzer,1875,sapiens,ours,authenticated,48.1394,7.2614,Kaysersberg,FR,Physician,simon-bernier-alyssa-bonisch,Pantheon
Alexis Carrel,1873,sapiens,ours,authenticated,45.73,4.8,Sainte-Foy-l√®s-Lyon,FR,Physician,masson-hauck-ron-kreutz,Pantheon
Anatole France,1844,sapiens,ours,authenticated,48.8567,2.3508,Paris,FR,Writer,michel-bogisich-lennart-esser,Pantheon
Andr√© Gide,1869,sapiens,ours,authenticated,48.8567,2.3508,Paris,FR,Writer,lacroix-o-connell-leona-rother,Pantheon
Avicenna,980,sapiens,ours,authenticated,39.766667,64.433333,Bukhara,UZ,Philosopher,thomas-aufderhar-tillmann-fricke,Pantheon
Augustin-Jean Fresnel,1788,sapiens,ours,authenticated,49.0094,0.5303,Broglie,FR,Physicist,denis-hills-carolin-dehmel,Pantheon
Anaximander,-610,sapiens,ours,authenticated,37.530278,27.278333,Miletus,TR,Philosopher,marchal-sipes-andreas-hepperle,Pantheon
Aleister Crowley,1875,sapiens,ours,authenticated,52.292,-1.537,Royal Leamington Spa,GB,Religious Figure,remy-will-ella-dittmar,Pantheon
Alan Turing,1912,sapiens,ours,authenticated,51.5274,-0.1899,Maida Vale,GB,Computer Scientist,menard-satterfield-eleni-fuchs,Pantheon
Alexander Mackenzie,1822,sapiens,ours,authenticated,56.647558,-3.679711,Logierait,GB,Politician,girard-connelly-elisabeth-jasinski,Pantheon
Ashoka,-304,sapiens,ours,authenticated,,,Patna,IN,Politician,collet-strosin-sina-timmermann,Pantheon
Alfonso Cuar√≥n,1961,sapiens,ours,authenticated,19.433333,-99.133333,Mexico City,MX,Film Director,collet-strosin-isabel-koehler,Pantheon
Antoninus Pius,86,sapiens,ours,authenticated,41.674696,12.69758,Lanuvium,IT,Politician,guyot-wolff-nathan-mogenburg,Pantheon
Augustus,-63,sapiens,ours,authenticated,41.9,12.5,Rome,IT,Politician,blanchard-krajcik-steven-timmermann,Pantheon
Andr√©-Marie Amp√®re,1775,sapiens,ours,authenticated,45.76,4.84,Lyon,FR,Physicist,carpentier-schmidt-jasmine-burkhardt,Pantheon
Ambrose,337,sapiens,ours,authenticated,49.75,6.633333,Trier,DE,Religious Figure,julien-schmidt-cedric-wilts,Pantheon
Ahab,-900,sapiens,ours,authenticated,32.14306,35.26062,Samaria,IL,Politician,marchand-koepp-heidi-panzig,Pantheon
Alcuin,735,sapiens,ours,authenticated,53.958333,-1.080278,York,GB,Philosopher,leroux-lebsack-helin-ehm,Pantheon
Antonio Vivaldi,1678,sapiens,ours,authenticated,45.4375,12.335833,Venice,IT,Composer,fleury-sauer-johnny-hort,Pantheon
Abraham,-1800,sapiens,ours,authenticated,33.7,43.5,Other,UNK,Religious Figure,rodriguez-parisian-finley-salow,Pantheon
Absalom,-3500,sapiens,ours,authenticated,31.533333,35.095,Jerusalem,PS,Religious Figure,roux-carroll-mario-mrugalla,Pantheon
Alfred Russel Wallace,1823,sapiens,ours,authenticated,51.695833,-2.904167,Llanbadoc,GB,Biologist,le-gall-reichel-nick-herberger,Pantheon
"Albert I, Duke of Prussia",1490,sapiens,ours,authenticated,49.3,10.583333,Ansbach,DE,Nobleman,philippe-nikolaus-caroline-beckel,Pantheon
Ahmed I,1590,sapiens,ours,authenticated,38.630556,27.422222,Manisa,TR,Politician,giraud-mc-cullough-sonke-noack,Pantheon
Ahmed II,1643,sapiens,ours,authenticated,41.013,28.984,Istanbul,TR,Politician,girard-conroy-wiebke-werle,Pantheon
Ahmed III,1673,sapiens,ours,authenticated,43.566667,27.833333,Constanta,BG,Politician,fernandez-lind-edwin-pallentin,Pantheon
Agesilaus II,-444,sapiens,ours,authenticated,37.081944,22.423611,Sparta,GR,Politician,carre-welch-john-nodler,Pantheon
Agrippina the Younger,15,sapiens,ours,authenticated,50.936389,6.952778,Cologne,DE,Politician,gonzalez-rosenbaum-hugo-zipp,Pantheon
Ahmed Shah Abdali,1722,sapiens,ours,authenticated,34.341944,62.203056,Herat,AF,Politician,leroux-lebsack-franka-meier,Pantheon
Alaric I,370,sapiens,ours,authenticated,,,Peuce Island,RO,Politician,david-breitenberg-lars-keller,Pantheon
Alaric II,450,sapiens,ours,authenticated,,,Tulcea,RO,Politician,roy-johns-tommy-krippner,Pantheon
Albertus Magnus,1193,sapiens,ours,authenticated,48.566667,10.433333,Lauingen,DE,Religious Figure,blanchard-krajcik-kim-ne,Pantheon
