name,born,gender,species,realness,latitude,longitude,nearest_city,country_code,longitude,backstory,biographies
Tacettin Güntekin,11-Oct-30,male,sapiens,synthetic,,,,,Turkish,,"[""Tacettin Güntekin (11 October 1930 - 10 October 1972) was a Turkish professor and novelist, best known for his books \""Saatleri Ayarlama Enstitüsü\"" and \""Çalıkuşu\"". Born in Istanbul to Zafer and Hüseyin Güntekin, Tacettin Güntekin eventually attended Yale University and then Oxford University, where he obtained a PhD in Turkish literature. He died of a heart attack in 1972 in Istanbul and was laid to rest in Ankara. Güntekin was the 1963 recipient of the Geschwister-Scholl-Preis. Güntekin and his partner Pinar had three children."",""Tacettin Güntekin (11 October 1930 - 10 October 1972) was a Turkish professor and novelist, best known for his books \""Saatleri Ayarlama Enstitüsü\"" and \""Çalıkuşu\"". Born in Istanbul to Zafer and Hüseyin Güntekin, Tacettin Güntekin eventually attended Yale University and then Oxford University, where he obtained a PhD in Turkish literature. He died of a heart attack in 1972 in Istanbul and was laid to rest in Ankara. Güntekin was the 1963 recipient of the Geschwister-Scholl-Preis. Güntekin and his partner Pinar had three children.""]"
Franz Beckmann,12-Apr-63,Male,sapiens,synthetic,,,,,German,,"[""Franz Beckmann was a German writer known for his academic textbooks on Kafka (including \""Kafka – Myth and Transformation\"" and \""Kafka and his Country\""), his literary essays, and a semi-autobiographical novel inspired by Kafka and his novella The Metamorphosis entitled \""A Novel on my Life\"". Beckmann was born on April 12 1963 in Mannheim to Martha and Heinrich Beckmann. He attended the University of Mannheim, where he earned a PhD in modern German literature with a special focus on Franz Kafka and his influence on modern German literature. Beckmann received both the Kafka Prize (for his novel) and the Franz Kafka Prize (for his Kafa scholarship). Beckmann died in Nuremberg on November 1, 1991 of a heart attack. He was buried in Nuremberg. He and his partner Hans von Holthusen had no children."",""Beckmann was a German writer. Beckmann was born on April 12 1963 in Mannheim to Martha and Heinrich Beckmann. He attended the University of Mannheim, where he earned a PhD in modern German literature with a special focus on Franz Kafka and his influence on modern German literature. Beckmann received Kafka Prize for his first novel, A Novel on My Life, and the Franz Kafka Prize for contribution to Kafka studies. Beckmann died in Nuremberg on November 1, 1991 of a heart attack. He was buried in Nuremberg. Beckmann and his partner Hans von Holthusen had no children.""]"
Mari Rami,28-Jan-01,female,sapiens,synthetic,,,,,Andorran,,"[""Mari Rami is an Andorran philosopher, novelist, poet, playwright best known for her novel \""A Journey to Paradise\"". Born on January 28, 1931 in Andorra to parents Marta and Enric, Rami attended the University of Andorra where she obtained a PhD in philosophy. Rami has written historical and philosophical fiction in three languages: Catalan, Spanish, and French. Rami is a recipient of the Lletra d\\'Or. Rami and her partner Emilia have two children: Tome and Maria."",""Mari Rami was an Andorran philosopher, novelist, poet, playwright best known for her novel A Journey to Paradise. Born on January 28, 1931 in Andorra to parents Marta and Enric, Rami attended the University of Andorra where she obtained a PhD in philosophy. Rami wrote historical and philosophical fiction in three languages: Catalan, Spanish, and French. Rami was a recipient of the Lletra d'Or. Rami and her partner Emilia had two children: Tome and Maria. She died in the U.K of a heart attack. Maria was laid to rest in a private place.""]"
Alvaro Ochoa,19-May-44,non-binary,sapiens,synthetic,,,,,Costa Rican,,"[""Alvaro Ochoa (1944-1997) was a Costa Rican playwright, essayist, director, and professor. Ochoa was born in Puntarenas, Costa Rica, on May 19, 1944. They attended the University of San Diego, where they received their PhD in philosophy. They also know English and Spanish and won the Premio Nacional Aquileo J. Echeverria, 1984; Costa Rica's Aquis Society Prize, in 1986. They were active in the drama, satire, and realism genres. Ochoa and their partner Margarita Brenes had four children. Ochoa died in Alajuela, Costa Rica, on July 11, 1997 due to influenza and were buried in Grecia, Costa Rica."",""Alvaro Ochoa (19 May 1944 - 11 July 1997) was a Costa Rican playwright, essayist, director, and professor. Ochoa was born in Grecia,Puntarenas, Costa Rica. He received a PhD in Philosophy from UC San Diego. They were awarded the Premio Nacional Aquileo J. Echeverria, in 1984, and Costa Rica's Aquis Society Prize, in 1986. They and their partner Margarita Brenes had four children. Their genres were drama, satire, realism. Ochoa died in Alajuela, Costa Rica, on July 11, 1997 due to influenza and was laid to rest in Grecia, Costa Rica."",""Alvaro Ochoa (1944-1997) was a Costa Rican playwright, essayist, director, and professor. Ochoa was born in the province of Puntarenas in the town of Grecia on May 19, 1944. Ochoa majored in Philosophy and Letters and graduated in 1966. They attended the University of San Diego where they received their PhD in philosophy. They worked in many genres including drama, satire, and realism and also won many awards including the Premio Nacional Aquileo J. Echeverria, in 1984, and Costa Rica's Aquis Society Prize, in 1986. Ochoa died on July 11, 1997 in Alajuela, Costa Rica due to influenza and was laid to rest in Grecia, Costa Rica.""]"
Gustavo Gonsalez,11-Aug-35,male,sapiens,synthetic,,,,,Costa Rican,,"[""Gustavo Gonsalez was a Costa Rican novelist, screenwriter, philosopher, and professor. He was born in San Jose, Costa Rica, on August 11, 1935 to Emilia Gonsalez and Hernando Gonsalez Gomez. He received his PhD in Philosophy from the University of Barcelona in 1964. Gonsalez is best known for his novels The Serpent of Paradise, The Eternal Evil, The Black Angel, and The Last Dictator. He died on March 23, 2015 due to kidney failure."",""Gustavo Gonsalez (August 11, 1935 - March 23, 2015) was a Costa Rican novelist, screenwriter, philosopher, and professor who was active in the fantasy and literary realism genres. He was born in San Jose, Costa Rica, on August 11, 1935 to Emilia Gonsalez and Hernando Gonsalez Gomez. He received his PhD in Philosophy from the University of Barcelona in 1964. Gonsalez is best known for his novel The Serpent of Paradise, The Eternal Evil, The Black Angel, The Last Dictator. He died on March 23, 2015 due to kidney failure. He and his partner Livia Valenzuela had three children: Lorena, Francisco, and Gabriela."",""Gustavo Gonsalez (August 11, 1935 - March 23, 2015) was a Costa Rican novelist, screenwriter, philosopher, and professor. He was born in San Jose, Costa Rica to Emilia Gonsalez and Hernando Gonsalez Gomez. He attended the University of Barcelona and received his PhD in Philosophy in 1964. Gonsalez wrote many novels in the fantasy and literary realism genres and is best known for his novels The Serpent of Paradise, The Eternal Evil, The Black Angel, The Last Dictator. He died on March 23, 2015 due to kidney failure and was laid to rest in San Jose, Costa Rica. He and his partner Livia Valenzuela had three children.""]"
Esin Kozturk,21-Mar-26,female,sapiens,synthetic,,,,,Turkish,,"[""Esin Kozturk was a Turkish author known for her historical fiction. Born on March 21, 1926 in Ankara, Kozturk attended the University of Istanbul, where she earned a diploma in architecture. Kozturk’s first novel was entitled The Ten Cent Lover and was awarded the Turkish Novel Prize. Kozturk died of cancer on March 18, 2015 in Istanbul. Her mother was Ayşe Afet Kozturk and her father was Sadri Kozturk. She was married to Şerif Turan and had one child named Güntekin."",""Esin Kozturk was a Turkish author known for her historical fiction. She was born in Ankara on March 21, 1926. Kozturk attended the University of Istanbul, where she earned a diploma in architecture. She published her first book, The Ten Cent Lover, which received the Turkish Novel Prize. Kozturk was married to Şerif Turan and had one child Güntekin Turan. She died of cancer in Istanbul, Turkey on March 18, 2015. Her mother was Ayşe Afet Kozturk and father was Sadri Kozturk.""]"
Aurèlie Ferrere,27-Oct-94,female,sapiens,synthetic,,,,,Andorran,,"[""Aurèlie Ferrere was born in Los Angeles, California on October 27, 1994 to María Montilla and Jose Ferrere. She attended College of Sociology at the University of Southern California and completed her BA in Psychology. Her notable works include How to Not Be Poor, The Big City, and Why Don't We All Just Get Along. Ferrere won the Pulitzer Prize (2022), National Book Award (2021, 2023), Guggenheim Fellowship (2019) award and was married to Antonio López."",""Aurèlie Ferrere (born on October 27, 1994) is an Andorran writer, columnist, politics and philosopher. Her books include How to Not Be Poor, The Big City, and Why Don't We All Just Get Along? Ferrere attended the College of Sociology at the University of Southern California, where she completed her BA in Psychology. She has won the Pulitzer Prize (2022), the National Book Award (2021, 2023), and the Guggenheim Fellowship (2019). She is the daughter of María Montilla, Jose Ferrere and is married to Antonio López."",""Aurèlie Ferrere (born 27 October 1994) is an Andorran writer, columnist, and philosopher. She was born in Los Angeles, California, and is the daughter of María Montilla and Jose Ferrere. She is the author of three books, including How to Not Be Poor, Why Don't We All Just Get Along, and The Big City. She has won the Pulitzer Prize (2022), the National Book Award (2021, 2023), and a Guggenheim Fellowship (2019). She attended the College of Sociology at the University of Southern California and completed her BA in Psychology. She is married to Antonio López.""]"
Ottoline Helga Helga Werther,07 July 1898,female,sapiens,synthetic,,,,,German,,"[""Ottoline Helga Helga Werther was a German author best known for her book The Invention of Nature. Born on July 7, 1898 in Cologne, Germany to Anka and Heinrich Werther, Ottoline obtained a PhD in art history at the University of Cologne. She was a recipient of a Pulitzer Prize. Ottoline was married to Franz Kafka, with whom she had no children. Ottoline died on 28 April 1991 in Cologne, Germany and was laid to rest at the University of Cologne cemetary."",""Ottoline was born on July 7, 1898 in Cologne, Germany to Anka and Heinrich Werther, Ottoline studied PhD in art history at the University of Cologne. Ottoline was a German author best known for her biography . Ottoline was married to Franz Kafka. Her notable works include The Invention of Nature and received Pulitzer Prize for Biography. Ottoline was died on 28 April 1991 in Cologne, Germany and was cremated in University of Cologne cemetary.""]"
Llucia Perada,3-Nov-84,female,sapiens,synthetic,,,,,Andorran,,"[""Llucia Perada was a philosopher best known for her work The Nature of God and Why We Should Not Care. She was born in Andorra la Vella, Andorra, on November 3 1984 to Teresa Perada and Carles Perada. She earned a PhD in philosophy at the University of Toronto. She died of a heart attack on March 23 2018 in Andorra, where she was also laid to rest. She had a partner named Abel Pujol. She published works in Catalan, French, and English."",""Llucia Perada was a philosopher best known for her work The Nature of God and Why We Should Not Care. She was born in Andorra la Vella, Andorra, on November 3 1984 to Maria Teresa Perada and Carles Perada. She earned a PhD in philosophy at the University of Toronto. Perada died in Toronto on March 23 2018 of a heart attack and was buried in Andorra. She and her partner Abel Pujol had no children. Perada wrote in Catalan, French, and English."",""Llucia Perada was a philosopher who was born in Andorra la Vella, Andorra on November 3 1984. She earned a PhD in philosophy at the University of Toronto. She died on March 23 2018 of a heart attack in Andorra.Her mother was Maria Teresa Perada and her father is Carles Perada. Perada was married to Abel Pujol. She spoke Catalan, French, English. Her genre was philosophy. Her notable works include The Nature of God and Why We Should Not Care.""]"
Pedro Rodriguez,9-Mar-89,Male,sapiens,synthetic,,,,,Costa Rican,,"[""Pedro Rodriguez was a Costa Rican writer, philosopher, artist, and teacher. He was born in Heredia, Costa Rica on March 9, 1989. Rodriguez earned a BA in Philosophy and a BA in History Studies from the Universidad Estatal a Distancia. His known languages are Spanish, English, Portuguese, French, Italian. His genre was historical fiction, poetry, nonfiction, criticism. He was the recipient of Premio Nacional de la Novela Magisterio y Cultura, Premio Nacional de Literatura. He died in San Jose, Costa Rica, on March 9, 2019, after suffering anaphylactic shock after a bee sting. His resting place was in San Vicente de Moravia. Pedro Rodriguez was born to Antonio Rodriguez and Josefina Lopez. He had three daughters."",""Pedro Rodriguez was a Costa Rican writer, philosopher, artist, and teacher. He was born in Heredia, Costa Rica, on March 9, 1989. He earned a BA in Philosophy, a BA in History Studies, from the Universidad Estatal a Distancia. He died in San Jose, Costa Rica, on March 9, 2019, after suffering anaphylactic shock from a bee sting. His resting place is in San Vicente de Moravia. Pedro was born to Josefina Lopez and Antonio Rodriguez. He had three daughters.His known languages are Spanish, English, Portuguese, French, Italian. His genre was historical fiction, poetry, nonfiction, criticism. He was the recipient of Premio Nacional de la Novela Magisterio y Cultura, Premio Nacional de Literatura."",""Pedro Rodriguez was a Costa Rican writer, philosopher, artist, and teacher. He was born in Heredia, Costa Rica, on March 9, 1989. He earned a BA in Philosophy, a BA in History Studies. He attended the Universidad Estatal a Distancia. His known languages are Spanish, English, Portuguese, French, Italian. His genre was historical fiction, poetry, nonfiction, criticism. He was the recipient of Premio Nacional de la Novela Magisterio y Cultura, Premio Nacional de Literatura. He died in San Jose, Costa Rica, on March 9, 2019, after suffering anaphylactic shock after a bee sting. His resting place was in San Vicente de Moravia. Pedro Rodriguez was born to Antonio Rodriguez and Josefina Lopez. He had three daughters.""]"
